iter	Passed	Remaining
0	2	2123
1	5	2978
2	12	4134
3	16	4075
4	20	3999
5	23	3827
6	27	3921
7	31	3967
8	36	3989
9	40	4056
10	43	3938
11	46	3834
12	53	4091
13	58	4141
14	61	4015
15	65	4014
16	67	3906
17	74	4065
18	79	4128
19	82	4033
20	84	3928
21	90	4001
22	93	3954
23	97	3950
24	100	3924
25	103	3880
26	108	3901
27	110	3846
28	118	3955
29	122	3949
30	126	3939
31	129	3931
32	131	3855
33	136	3887
34	140	3863
35	141	3801
36	143	3746
37	145	3688
38	149	3690
39	153	3688
40	157	3694
41	159	3641
42	161	3597
43	166	3615
44	168	3583
45	170	3534
46	172	3488
47	174	3467
48	177	3449
49	182	3472
50	185	3445
51	187	3417
52	190	3412
53	194	3399
54	199	3423
55	203	3430
56	206	3408
57	211	3442
58	215	3442
59	220	3455
60	223	3445
61	230	3485
62	232	3463
63	237	3479
64	246	3543
65	252	3568
66	262	3651
67	265	3632
68	268	3622
69	271	3612
70	277	3630
71	281	3629
72	284	3615
73	290	3629
74	295	3640
75	299	3639
76	303	3632
77	306	3625
78	309	3606
79	312	3592
80	315	3583
81	320	3586
82	324	3586
83	327	3573
84	329	3543
85	332	3532
86	336	3529
87	339	3520
88	341	3493
89	345	3492
90	348	3484
91	353	3488
92	356	3479
93	359	3468
94	363	3459
95	367	3461
96	371	3456
97	374	3450
98	378	3441
99	383	3453
100	388	3455
101	392	3455
102	396	3453
103	403	3473
104	406	3465
105	412	3476
106	425	3547
107	427	3534
108	433	3540
109	450	3647
110	460	3686
111	464	3683
112	470	3690
113	473	3678
114	477	3675
115	482	3679
116	486	3671
117	489	3659
118	493	3652
119	499	3660
120	502	3646
121	504	3634
122	508	3622
123	511	3611
124	515	3606
125	517	3592
126	520	3580
127	524	3574
128	527	3563
129	531	3554
130	534	3542
131	537	3535
132	542	3535
133	545	3528
134	550	3529
135	554	3524
136	558	3519
137	562	3514
138	565	3502
139	569	3497
140	572	3489
141	576	3481
142	579	3474
143	584	3474
144	589	3477
145	594	3475
146	598	3472
147	605	3484
148	609	3482
149	613	3477
150	619	3483
151	623	3478
152	626	3468
153	628	3454
154	637	3475
155	641	3468
156	645	3467
157	649	3462
158	653	3456
159	656	3447
160	659	3437
161	663	3433
162	667	3427
163	670	3416
164	673	3406
165	676	3396
166	680	3392
167	683	3383
168	686	3375
169	689	3366
170	692	3356
171	695	3346
172	697	3335
173	701	3329
174	704	3321
175	706	3307
176	711	3306
177	716	3307
178	719	3300
179	723	3294
180	728	3296
181	732	3291
182	735	3282
183	738	3273
184	743	3277
185	747	3270
186	750	3263
187	753	3256
188	756	3247
189	761	3246
190	764	3237
191	768	3234
192	773	3234
193	777	3230
194	781	3226
195	785	3222
196	789	3219
197	794	3216
198	798	3212
199	800	3203
200	805	3201
201	809	3196
202	812	3190
203	815	3183
204	820	3181
205	822	3168
206	825	3163
207	828	3155
208	832	3149
209	836	3147
210	841	3146
211	843	3133
212	847	3130
213	852	3130
214	855	3123
215	859	3118
216	862	3113
217	867	3110
218	870	3105
219	874	3099
220	877	3091
221	879	3083
222	883	3078
223	886	3070
224	890	3066
225	894	3061
226	896	3053
227	900	3047
228	903	3041
229	906	3034
230	909	3029
231	914	3026
232	918	3023
233	923	3023
234	928	3021
235	931	3016
236	935	3012
237	937	3001
238	938	2989
239	943	2988
240	946	2981
241	951	2978
242	954	2974
243	959	2974
244	966	2977
245	968	2968
246	974	2972
247	979	2970
248	983	2965
249	987	2962
250	992	2960
251	995	2955
252	998	2948
253	1002	2943
254	1006	2940
255	1010	2936
256	1013	2929
257	1015	2920
258	1017	2911
259	1021	2908
260	1025	2904
261	1027	2894
262	1031	2889
263	1035	2885
264	1038	2880
265	1043	2879
266	1046	2874
267	1049	2866
268	1052	2861
269	1055	2854
270	1059	2850
271	1062	2843
272	1066	2839
273	1069	2834
274	1073	2828
275	1076	2823
276	1080	2819
277	1083	2814
278	1086	2808
279	1090	2805
280	1094	2800
281	1097	2793
282	1100	2788
283	1103	2782
284	1107	2778
285	1110	2773
286	1114	2769
287	1118	2764
288	1122	2761
289	1125	2755
290	1129	2752
291	1133	2747
292	1136	2741
293	1140	2737
294	1144	2734
295	1148	2730
296	1152	2727
297	1158	2728
298	1162	2724
299	1166	2721
300	1172	2722
301	1176	2719
302	1180	2714
303	1183	2709
304	1185	2702
305	1187	2694
306	1193	2694
307	1197	2689
308	1200	2684
309	1203	2678
310	1207	2675
311	1210	2668
312	1213	2662
313	1216	2657
314	1219	2652
315	1222	2645
316	1228	2646
317	1230	2638
318	1233	2634
319	1238	2631
320	1241	2626
321	1245	2621
322	1248	2616
323	1251	2610
324	1255	2608
325	1259	2603
326	1261	2596
327	1264	2590
328	1268	2587
329	1271	2581
330	1276	2579
